gpu_architecture,gpu_id,kernel_i,kernel_j,kernel_id,grid_x,grid_y,block_x,block_y,total_blocks,threads_per_block,total_threads,execution_time_us,launch_overhead_us,predicted_time_us,predicted_time_ms
TITAN_V,cuda3,1,20,1_20,5,5,15,15,25,225,5625,9.853,2.051,11.904,0.011904
TITAN_V,cuda3,1,18,1_18,5,5,15,15,25,225,5625,5.329,2.051,7.38,0.00738
TITAN_V,cuda3,1,0,1_0,5,5,15,15,25,225,5625,5.745,2.051,7.796,0.007796
TITAN_V,cuda3,1,16,1_16,5,5,15,15,25,225,5625,5.733,2.051,7.784,0.007784
TITAN_V,cuda3,1,42,1_42,5,5,15,15,25,225,5625,5.627,2.051,7.678,0.007678
TITAN_V,cuda3,1,45,1_45,5,5,15,15,25,225,5625,5.777,2.051,7.828,0.007828
TITAN_V,cuda3,1,17,1_17,5,5,15,15,25,225,5625,5.974,2.051,8.025,0.008025000000000001
TITAN_V,cuda3,1,1,1_1,5,5,15,15,25,225,5625,5.755,2.051,7.806,0.0078060000000000004
TITAN_V,cuda3,1,19,1_19,5,5,15,15,25,225,5625,6.091,2.051,8.142,0.008142
TITAN_V,cuda3,1,21,1_21,5,5,15,15,25,225,5625,9.854,2.051,11.905,0.011904999999999999
TITAN_V,cuda3,1,44,1_44,5,5,15,15,25,225,5625,5.611,2.051,7.662,0.0076619999999999995
TITAN_V,cuda3,1,43,1_43,5,5,15,15,25,225,5625,5.868,2.051,7.9190000000000005,0.007919
TITAN_V,cuda3,1,38,1_38,5,5,15,15,25,225,5625,5.83,2.051,7.881,0.007881
TITAN_V,cuda3,1,36,1_36,5,5,15,15,25,225,5625,5.754,2.051,7.805,0.0078049999999999994
TITAN_V,cuda3,1,37,1_37,5,5,15,15,25,225,5625,5.814,2.051,7.865,0.007865
TITAN_V,cuda3,1,39,1_39,5,5,15,15,25,225,5625,5.729,2.051,7.78,0.0077800000000000005
TITAN_V,cuda3,1,46,1_46,5,5,15,15,25,225,5625,7.912,2.051,9.963000000000001,0.009963000000000001
TITAN_V,cuda3,1,41,1_41,5,5,15,15,25,225,5625,5.805,2.051,7.856,0.007856
TITAN_V,cuda3,1,48,1_48,5,5,15,15,25,225,5625,7.184,2.051,9.235,0.009235
TITAN_V,cuda3,1,15,1_15,5,5,15,15,25,225,5625,6.39,2.051,8.440999999999999,0.008440999999999999
TITAN_V,cuda3,1,3,1_3,5,5,15,15,25,225,5625,5.786,2.051,7.837,0.007837
TITAN_V,cuda3,1,40,1_40,5,5,15,15,25,225,5625,5.789,2.051,7.84,0.00784
TITAN_V,cuda3,1,47,1_47,5,5,15,15,25,225,5625,6.476,2.051,8.527000000000001,0.008527000000000002
TITAN_V,cuda3,1,2,1_2,5,5,15,15,25,225,5625,5.734,2.051,7.785,0.007785
TITAN_V,cuda3,1,14,1_14,5,5,15,15,25,225,5625,5.539,2.051,7.59,0.0075899999999999995
TITAN_V,cuda3,1,22,1_22,5,5,15,15,25,225,5625,8.019,2.051,10.07,0.01007
TITAN_V,cuda3,1029,0,1029_0,5,5,15,15,25,225,5625,5.524,2.051,7.575,0.007575
TITAN_V,cuda3,1029,1,1029_1,5,5,15,15,25,225,5625,5.926,2.051,7.977,0.007977
TITAN_V,cuda3,1029,2,1029_2,5,5,15,15,25,225,5625,5.996,2.051,8.047,0.008047
TITAN_V,cuda3,10047,0,10047_0,5,5,15,15,25,225,5625,5.38,2.051,7.431,0.007431
TITAN_V,cuda3,10047,1,10047_1,5,5,15,15,25,225,5625,5.38,2.051,7.431,0.007431
TITAN_V,cuda3,10003,2,10003_2,5,5,15,15,25,225,5625,5.45,2.051,7.501,0.007501000000000001
TITAN_V,cuda3,1008,0,1008_0,5,5,15,15,25,225,5625,5.573,2.051,7.6240000000000006,0.007624000000000001
TITAN_V,cuda3,1008,7,1008_7,5,5,15,15,25,225,5625,5.574,2.051,7.625,0.007625
TITAN_V,cuda3,1001,0,1001_0,5,5,15,15,25,225,5625,5.529,2.051,7.58,0.00758
TITAN_V,cuda3,1006,0,1006_0,5,5,15,15,25,225,5625,5.328,2.051,7.3790000000000004,0.007379
TITAN_V,cuda3,1000,27,1000_27,5,5,15,15,25,225,5625,5.434,2.051,7.485,0.007485
TITAN_V,cuda3,1000,29,1000_29,5,5,15,15,25,225,5625,5.387,2.051,7.438,0.007437999999999999
TITAN_V,cuda3,1000,28,1000_28,5,5,15,15,25,225,5625,5.387,2.051,7.438,0.007437999999999999
TITAN_V,cuda3,1000,26,1000_26,5,5,15,15,25,225,5625,5.089,2.051,7.140000000000001,0.0071400000000000005
TITAN_V,cuda3,1000,24,1000_24,5,5,15,15,25,225,5625,5.537,2.051,7.588,0.007588
TITAN_V,cuda3,1000,5,1000_5,5,5,15,15,25,225,5625,5.086,2.051,7.1370000000000005,0.007137
TITAN_V,cuda3,1000,25,1000_25,5,5,15,15,25,225,5625,5.49,2.051,7.541,0.007541
TITAN_V,cuda3,10492,1,10492_1,5,5,15,15,25,225,5625,5.858,2.051,7.909,0.007909
TITAN_V,cuda3,10716,9,10716_9,5,5,15,15,25,225,5625,6.746,2.051,8.797,0.008797000000000001
TITAN_V,cuda3,11846,10,11846_10,5,5,15,15,25,225,5625,5.309,2.051,7.36,0.00736
TITAN_V,cuda3,10393,4,10393_4,5,5,15,15,25,225,5625,5.33,2.051,7.381,0.007381
TITAN_V,cuda3,10393,5,10393_5,5,5,15,15,25,225,5625,5.435,2.051,7.486,0.007486
TITAN_V,cuda3,13126,0,13126_0,5,5,15,15,25,225,5625,7.639,2.051,9.690000000000001,0.00969
TITAN_V,cuda3,11647,0,11647_0,5,5,15,15,25,225,5625,5.449,2.051,7.5,0.0075
TITAN_V,cuda3,11647,1,11647_1,5,5,15,15,25,225,5625,5.515,2.051,7.566,0.007566
TITAN_V,cuda3,11647,10,11647_10,5,5,15,15,25,225,5625,5.444,2.051,7.495,0.007495
TITAN_V,cuda3,11647,4,11647_4,5,5,15,15,25,225,5625,5.444,2.051,7.495,0.007495
TITAN_V,cuda3,11647,3,11647_3,5,5,15,15,25,225,5625,5.449,2.051,7.5,0.0075
TITAN_V,cuda3,11647,2,11647_2,5,5,15,15,25,225,5625,5.444,2.051,7.495,0.007495
TITAN_V,cuda3,10270,2,10270_2,5,5,15,15,25,225,5625,7.117,2.051,9.168,0.009167999999999999
TITAN_V,cuda3,10426,0,10426_0,5,5,15,15,25,225,5625,6.428,2.051,8.479,0.008478999999999999
TITAN_V,cuda3,10426,1,10426_1,5,5,15,15,25,225,5625,5.707,2.051,7.758,0.007758
TITAN_V,cuda3,1040,1,1040_1,5,5,15,15,25,225,5625,6.804,2.051,8.855,0.008855
TITAN_V,cuda3,11934,93,11934_93,5,5,15,15,25,225,5625,5.262,2.051,7.313,0.007313
TITAN_V,cuda3,10223,26,10223_26,5,5,15,15,25,225,5625,5.568,2.051,7.619,0.007619
TITAN_V,cuda3,10615,4,10615_4,5,5,15,15,25,225,5625,9.38,2.051,11.431000000000001,0.011431
TITAN_V,cuda3,10615,5,10615_5,5,5,15,15,25,225,5625,6.57,2.051,8.621,0.008621
TITAN_V,cuda3,1643,11,1643_11,5,5,15,15,25,225,5625,5.618,2.051,7.6690000000000005,0.0076690000000000005
GTX_TITAN_X,cuda4,10406,0,10406_0,5,5,15,15,25,225,5625,10.079,2.51,12.589,0.012589000000000001
GTX_TITAN_X,cuda4,104,0,104_0,5,5,15,15,25,225,5625,11.027,2.51,13.536999999999999,0.013536999999999999
GTX_TITAN_X,cuda4,104,4,104_4,5,5,15,15,25,225,5625,10.906,2.51,13.416,0.013416
GTX_TITAN_X,cuda4,104,3,104_3,5,5,15,15,25,225,5625,13.852,2.51,16.362000000000002,0.016362
GTX_TITAN_X,cuda4,104,2,104_2,5,5,15,15,25,225,5625,12.55,2.51,15.06,0.01506
GTX_TITAN_X,cuda4,104,5,104_5,5,5,15,15,25,225,5625,12.471,2.51,14.981,0.014981
GTX_TITAN_X,cuda4,10835,97,10835_97,5,5,15,15,25,225,5625,10.318,2.51,12.828,0.012827999999999999
GTX_TITAN_X,cuda4,10693,4,10693_4,5,5,15,15,25,225,5625,14.78,2.51,17.29,0.01729
GTX_TITAN_X,cuda4,10693,5,10693_5,5,5,15,15,25,225,5625,15.232,2.51,17.741999999999997,0.017741999999999997
